No.,Ticker,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
597,NTR,,1.02,1.69%,6.00%,3.12%,-9.65%,25.61%,59.35,50.76,0.22%,0.08%,0.14%,1286267
598,NTRI,1.15,1.45,9.93%,20.43%,-16.25%,-45.55%,42.01%,72.52,37,-0.80%,-1.20%,0.40%,773621
599,NUE,1.58,1.55,3.18%,5.03%,7.54%,-6.64%,27.35%,60.76,65.8,2.51%,-0.35%,2.87%,2665867
600,NUGT,,1.01,-2.49%,-2.27%,-14.95%,-43.18%,17.74%,48,25.02,-0.79%,0.12%,-0.91%,3294193
601,NUVA,0.36,1.36,3.13%,-0.74%,-5.58%,-37.13%,15.08%,54.39,51.35,0.18%,-0.14%,0.31%,518439
602,NVCR,,0.97,8.23%,25.08%,47.91%,0.16%,156.63%,79.89,31.95,1.59%,1.75%,-0.16%,705394
603,NVO,0.69,0.74,-0.92%,-1.35%,-4.84%,-18.06%,16.57%,47.09,47.83,0.61%,-0.31%,0.93%,760218
604,NVS,0.78,0.95,-1.43%,-3.54%,-9.11%,-19.74%,2.01%,40.87,75.6,1.45%,0.40%,1.05%,1505276
605,NVT,,1.05,4.96%,7.75%,7.75%,-3.80%,27.62%,,26.8,-1.03%,-1.33%,0.30%,1308030
606,NWL,0.75,0.78,-12.09%,-11.94%,-29.24%,-58.02%,-1.24%,25.32,23.12,-1.95%,-1.99%,0.04%,13849689
607,NYT,1.7,0.6,-0.31%,-0.07%,10.05%,-10.51%,35.69%,49.03,23,1.10%,0.44%,0.66%,1980406
608,O,0.22,231455598.5,0.89%,2.89%,-1.82%,-11.67%,12.25%,100,53.04,-0.49%,-0.69%,0.21%,2069683
609,OAS,2.1,0.52,8.61%,27.55%,45.37%,-1.49%,97.16%,73.1,13.19,1.23%,1.46%,-0.23%,16087604
610,OC,1.07,1.82,-4.69%,-14.18%,-22.70%,-35.55%,0.37%,26.84,62.21,-1.60%,0.78%,-2.36%,1849278
611,OGE,0.7,0.53,1.01%,4.08%,1.60%,-7.88%,16.19%,58.13,34.38,-1.83%,-1.88%,0.06%,1578663
612,OHI,0.39,0.51,5.45%,11.42%,7.05%,-12.80%,22.01%,72.22,30.38,-0.88%,-0.75%,-0.13%,2513580
613,OIH,,0.67,-3.67%,1.91%,6.60%,-9.39%,24.70%,46.59,27.06,-0.33%,-0.40%,0.07%,5620124
614,OII,1.39,0.83,1.45%,11.60%,10.30%,-12.17%,38.34%,59.45,23.67,-0.67%,-0.96%,0.29%,1317960
615,OIS,1.67,1.18,-3.50%,7.58%,28.08%,-9.63%,74.04%,50.8,35.2,-0.56%,-0.98%,0.42%,1414469
616,OKE,1.28,1.19,4.03%,11.55%,20.92%,-0.54%,45.33%,78.96,68.51,0.51%,0.23%,0.28%,1745130
617,OKTA,,1.81,15.02%,29.47%,72.77%,0.76%,166.50%,81.03,57.35,2.03%,1.47%,0.55%,6672859
618,OLED,1.35,4.77,1.47%,1.40%,-27.55%,-52.37%,14.62%,52.73,99.55,0.56%,0.15%,0.40%,1611898
619,OLLI,,1.46,4.34%,10.93%,32.16%,-1.60%,83.49%,69.1,70.55,-0.21%,-1.19%,0.99%,833860
620,OLN,1.44,0.81,-2.01%,3.11%,-4.04%,-17.05%,15.94%,49.36,32.22,-0.34%,-1.38%,1.05%,1935906
621,OMC,1.15,1.35,-1.97%,-1.27%,-1.66%,-15.41%,10.64%,45.1,72.27,0.26%,0.06%,0.21%,1908471
622,ON,2.04,0.77,7.62%,6.91%,18.60%,-4.98%,88.64%,65.61,25.75,2.47%,1.06%,1.39%,7433482
623,ONCE,2.51,3.39,5.63%,9.29%,15.01%,-12.23%,96.13%,60.88,80.53,0.93%,-0.06%,0.99%,519327
624,ORBK,0.62,1.16,3.27%,5.04%,24.02%,-2.25%,99.29%,66.01,64.27,0.36%,-0.03%,0.39%,542176
625,ORCL,1.14,0.73,1.80%,2.77%,-2.79%,-11.46%,8.25%,57.64,47.35,1.35%,0.57%,0.77%,10838178
626,OSK,1.59,2.08,-1.88%,-3.06%,-10.49%,-26.37%,17.01%,44.05,73.82,1.47%,0.46%,1.00%,837186
627,OSTK,1.65,2.05,-7.11%,-8.94%,-25.83%,-62.14%,144.60%,41.16,34,1.72%,1.19%,0.52%,896927
628,OSUR,1.67,0.6,8.49%,3.56%,-6.77%,-24.73%,34.68%,61.04,17.32,1.82%,1.46%,0.35%,551631
629,OXY,0.65,1.78,2.58%,11.90%,22.41%,-1.48%,47.13%,67.58,85.1,1.07%,0.53%,0.53%,4940156
630,PAA,0.72,0.64,-1.64%,0.19%,8.93%,-12.10%,29.00%,49.75,23.71,0.89%,0.25%,0.64%,2294302
631,PACW,1.45,1.05,-0.05%,4.11%,7.68%,-2.93%,24.19%,54.13,53.5,0.83%,-0.80%,1.64%,810112
632,PAGP,1.24,0.62,-0.09%,3.19%,11.86%,-10.27%,31.19%,55.58,24.6,0.12%,0.65%,-0.53%,1760530
633,PAGS,,2.11,5.66%,-0.09%,4.25%,-13.69%,28.83%,53.16,34.5,3.70%,2.77%,0.90%,2618693
634,PAYX,0.97,0.97,3.57%,6.47%,4.29%,-9.06%,22.66%,69.43,66.48,1.37%,0.76%,0.61%,1385483
635,PBF,1.24,1.54,12.86%,25.50%,51.80%,-0.77%,151.65%,78.24,48.67,3.16%,2.27%,0.87%,2352435
636,PBR,2.41,0.93,-30.98%,-28.90%,-14.62%,-41.00%,33.35%,22.3,10.13,-14.59%,-16.42%,2.19%,180935614
637,PBR-A,,0.85,-33.56%,-33.22%,-22.90%,-42.74%,23.24%,20.39,8.56,-16.08%,-18.32%,2.75%,47295370
638,PCAR,1.21,1.57,-1.87%,-3.77%,-7.73%,-20.98%,5.19%,42.37,62.97,1.19%,0.54%,0.64%,1638670
639,PCG,-0.01,1.14,-2.56%,-4.54%,-18.11%,-40.94%,13.32%,41.95,42.27,-2.45%,-2.45%,0.00%,3493234
640,PDCE,0.66,2.14,0.26%,10.38%,22.64%,-7.33%,66.98%,57.32,61.35,1.42%,0.72%,0.69%,1194181
641,PDCO,1.11,0.7,-5.46%,-6.69%,-34.67%,-56.56%,1.99%,37.69,20.98,0.29%,-0.38%,0.67%,1253665
642,PE,-0.52,1.1,-9.27%,-4.83%,4.19%,-15.32%,34.04%,37.69,28.31,-3.97%,-3.90%,-0.07%,10225520
643,PEB,1.28,0.69,6.80%,13.93%,14.08%,-0.24%,34.49%,79.33,41.22,0.98%,0.37%,0.61%,570326
644,PEG,0.44,0.8,2.57%,4.00%,6.33%,-1.45%,26.11%,61.73,52.55,-0.81%,-0.85%,0.04%,3769546
645,PENN,1.49,0.96,1.14%,14.16%,23.28%,-6.79%,78.57%,63.9,33.83,-0.73%,-1.14%,0.41%,1435079
646,PETS,1,1.18,3.11%,-1.99%,-9.12%,-36.21%,15.91%,51.01,36.87,2.50%,1.79%,0.70%,763698
647,PF,0.46,1.04,0.88%,7.88%,10.03%,-4.28%,22.12%,67.37,63.81,-0.20%,-0.34%,0.14%,1080876
648,PFG,1.55,1.29,-2.83%,-4.90%,-13.01%,-25.32%,2.84%,39.84,56.45,1.16%,0.82%,0.34%,1387291
649,PG,0.57,0.99,0.22%,-2.15%,-13.69%,-22.41%,3.85%,45.2,73.45,0.38%,0.16%,0.22%,7201050
650,PGR,0.67,1.01,1.37%,2.32%,14.29%,-1.34%,47.52%,55.03,62.43,0.55%,-0.21%,0.76%,2669824
651,PGTI,0.81,0.64,4.97%,8.72%,24.27%,-7.13%,79.74%,63.39,20.4,-1.45%,-1.69%,0.24%,822564
652,PHG,1.25,0.58,-1.54%,1.89%,4.41%,-4.28%,18.41%,50.11,41.59,1.09%,-0.19%,1.29%,2200191
653,PHM,1.03,0.76,-0.05%,1.38%,1.29%,-13.77%,34.22%,50.3,30.36,0.36%,-0.23%,0.60%,2452754
654,PINC,0.47,0.73,3.31%,3.69%,4.07%,-9.12%,22.15%,63.54,33.17,1.69%,1.47%,0.21%,664051
655,PLAY,0.4,1.12,2.10%,0.35%,-13.48%,-43.26%,10.15%,54.97,41.69,0.12%,-0.41%,0.53%,623951
656,PLD,0.86,0.93,0.87%,2.16%,2.13%,-3.58%,17.93%,57.63,65.11,1.18%,0.73%,0.45%,2951400
657,PLNT,,1.01,0.11%,1.46%,22.15%,-4.10%,90.01%,53.3,39.96,0.83%,0.23%,0.61%,896242
658,PM,0.92,1.49,-3.31%,-11.94%,-24.23%,-36.72%,-0.55%,31.34,78.18,-1.71%,-1.60%,-0.11%,7657718
659,PNFP,1.04,1.35,-2.16%,-0.39%,-0.71%,-7.97%,10.79%,42.93,64.7,-3.50%,-4.08%,0.60%,1165088
660,PNR,1.33,0.94,-2.39%,-4.19%,-4.88%,-12.73%,10.46%,38.84,43.86,0.50%,-0.20%,0.71%,1162707
661,PNW,0.26,1.24,-0.67%,-1.54%,-6.88%,-16.11%,5.11%,44.57,77.58,-2.55%,-2.01%,-0.55%,784701
662,POR,0.24,0.67,2.51%,3.58%,-3.85%,-15.65%,8.33%,60.83,42.27,-0.91%,-0.59%,-0.33%,765708
663,PPC,0.12,0.71,-6.83%,-13.44%,-30.43%,-49.28%,0.46%,27.52,19.47,-0.10%,-0.66%,0.56%,1178838
664,PRAH,0.48,2.64,3.23%,1.27%,1.17%,-11.64%,21.81%,55.64,84.74,-0.19%,-0.22%,0.04%,1045021
665,PRGO,0.76,1.87,-1.78%,-6.17%,-11.86%,-22.78%,16.33%,41.25,74.08,1.26%,0.60%,0.66%,1038121
666,PRTA,2.74,0.94,-7.20%,-44.11%,-67.41%,-80.44%,31.26%,28.48,13.69,1.48%,0.37%,1.11%,637109
667,PRU,1.45,2.3,-1.20%,-3.90%,-9.16%,-22.26%,4.58%,44.37,98.84,2.07%,0.29%,1.77%,1766053
668,PS,,1.23,5.02%,5.02%,5.02%,-2.47%,14.55%,,22.05,2.46%,0.68%,1.77%,626899
669,PSTG,,0.97,1.08%,8.48%,24.41%,-7.24%,89.50%,56.53,22.55,5.08%,5.08%,0.00%,7483564
670,PTC,1.34,1.46,1.66%,5.34%,26.46%,-1.87%,66.76%,64.75,87.05,0.94%,0.60%,0.34%,827594
671,PTCT,1.7,1.46,17.46%,24.63%,60.91%,5.49%,195.02%,75.38,36.11,6.52%,4.97%,1.47%,1775259
672,PTEN,1.21,0.84,-12.34%,-4.59%,-3.75%,-22.09%,31.49%,35.28,19.5,-5.71%,-8.24%,2.76%,6435961
673,PTLA,1.5,1.77,0.49%,13.35%,-12.24%,-39.24%,35.45%,58.46,40.77,1.54%,1.39%,0.15%,887726
674,PUMP,,0.96,-18.72%,-15.05%,-8.84%,-33.22%,40.96%,28.87,15.28,-6.08%,-6.77%,0.74%,4787285
675,PVTL,,0.62,-0.92%,0.13%,0.13%,-6.88%,20.91%,,18.27,1.56%,0.50%,1.06%,687450
676,PWR,0.89,0.64,0.15%,3.83%,-0.68%,-10.19%,18.33%,56.38,36.02,0.03%,-0.63%,0.67%,1186222
677,PYPL,,2.04,5.55%,7.46%,12.75%,-3.56%,63.78%,68.66,83.25,1.44%,0.85%,0.58%,7073680
678,QCOM,1.5,1.37,4.36%,7.36%,-0.30%,-15.40%,20.70%,62.46,58.61,0.84%,0.46%,0.38%,8865864
679,QD,,0.56,-14.90%,-19.06%,-40.88%,-75.71%,12.70%,34.88,8.61,4.36%,4.87%,-0.48%,3014006
680,QGEN,1.09,0.6,3.42%,8.99%,11.53%,-1.37%,21.36%,71.51,36.65,0.94%,0.25%,0.69%,795669
681,QID,,1.19,-5.28%,-10.48%,-20.76%,-41.94%,0.05%,31.27,41.5,-3.17%,-2.19%,-1.00%,1883452
682,QLD,,2.14,5.35%,10.41%,17.32%,-4.15%,56.00%,68.94,87.68,3.14%,2.14%,0.98%,1147413
683,QNST,0.92,0.55,6.67%,10.28%,39.75%,-6.42%,308.04%,62.1,13.71,0.00%,-0.15%,0.15%,589472
684,QRTEA,1.36,0.7,-9.29%,-15.17%,-17.71%,-30.54%,-0.25%,24.81,20.22,-0.54%,-0.54%,0.00%,2666190
685,QRVO,0.91,1.99,1.65%,9.59%,10.66%,-5.79%,30.52%,62.92,81.81,1.94%,1.46%,0.47%,1218477
686,QSR,,1.05,4.51%,5.56%,-2.41%,-14.08%,11.49%,63.2,59.19,0.29%,-0.10%,0.39%,1484113
687,QTS,0.64,0.99,8.01%,8.43%,-18.14%,-37.34%,22.13%,67.54,38.57,2.23%,2.39%,-0.16%,619810
688,RDC,1.8,0.64,-0.16%,8.84%,15.79%,-9.53%,73.84%,56.9,15.68,0.51%,0.77%,-0.26%,2142741
689,RDFN,,0.74,-2.73%,-3.29%,-8.92%,-35.44%,12.72%,42.84,21.62,-2.17%,-1.77%,-0.41%,1697138
690,RDS-A,1.09,1.19,-1.74%,1.46%,8.43%,-5.63%,34.27%,49.71,69.7,0.17%,-0.23%,0.40%,3558222
691,RDS-B,,1.28,-1.60%,2.33%,9.89%,-5.70%,35.70%,50.78,72.6,0.37%,-0.25%,0.62%,1275987
692,RDUS,1.22,1.2,-6.86%,-12.81%,-15.35%,-41.68%,16.26%,34.36,28.67,0.60%,0.07%,0.53%,641586
693,REG,0.48,0.98,0.21%,-0.06%,-7.21%,-18.23%,5.27%,49.19,57.76,-0.55%,-0.74%,0.19%,1513558
694,REGI,0.95,0.51,11.99%,24.82%,44.92%,-2.75%,85.79%,78.77,17.65,-1.12%,-1.12%,0.00%,563873
695,REI,0.17,0.7,-13.59%,-11.15%,-3.76%,-21.84%,24.63%,35.3,13.56,-1.81%,-2.38%,0.58%,570932
696,REN,3.3,1.98,-4.77%,-4.31%,3.27%,-22.62%,37.48%,43.7,32.5,-8.86%,-7.62%,-1.35%,895068
697,RES,0.83,0.78,-13.91%,-13.26%,-25.48%,-41.19%,-2.81%,30.95,15.92,-3.05%,-3.57%,0.55%,2078238
698,REXR,0.75,0.53,-0.25%,5.01%,6.83%,-4.31%,19.64%,57.54,31.49,0.70%,0.54%,0.16%,871725
699,RH,1.62,3.97,-2.89%,5.64%,14.49%,-10.28%,136.68%,48.72,98.27,0.55%,0.50%,0.05%,859770
700,RHI,1.19,0.99,1.30%,5.76%,16.78%,-1.88%,49.42%,60.9,64.13,0.71%,-0.14%,0.85%,830783
701,RIO,1.26,1.03,0.54%,4.82%,11.13%,-3.55%,52.79%,57.69,57.54,1.48%,0.31%,1.16%,1590544
702,RIOT,3.08,0.56,-4.73%,0.85%,-31.60%,-84.00%,140.19%,48.62,7.39,5.87%,6.64%,-0.72%,1002930
703,RJF,1.63,2.14,2.35%,7.51%,10.76%,-4.12%,35.90%,58.25,97.96,1.45%,-0.22%,1.68%,645727
704,RLGY,1.16,0.64,-5.13%,-9.14%,-17.49%,-33.83%,-1.00%,31.47,23.28,-2.14%,-2.80%,0.67%,1968043
705,ROKU,,1.8,5.70%,10.49%,1.40%,-36.96%,135.37%,58.88,37.07,-1.04%,-1.28%,0.24%,6982052
706,ROL,0.22,0.83,-0.10%,-1.09%,4.78%,-7.82%,25.62%,48.18,50.01,0.48%,-0.14%,0.62%,535174
707,ROST,1.06,2.04,-0.56%,1.88%,10.24%,-5.78%,52.72%,50.88,80.71,2.32%,1.70%,0.61%,3609234
708,RP,1.13,1.43,1.39%,8.23%,25.53%,-3.23%,77.63%,64.68,59.95,2.04%,1.35%,0.68%,942125
709,RPM,1.44,0.86,-0.63%,1.53%,-1.79%,-11.96%,7.66%,49.72,49.91,0.83%,0.04%,0.79%,963154
710,RRC,0.61,0.65,9.51%,12.66%,0.11%,-31.62%,37.30%,65.89,16.38,3.41%,3.41%,0.00%,10602178
711,RRR,,1.27,4.08%,12.34%,20.08%,-1.54%,64.50%,73.18,35.22,2.26%,1.76%,0.49%,640363
712,RS,1.19,2.2,1.50%,5.74%,13.02%,-3.24%,37.67%,59.1,94.25,0.73%,-0.64%,1.38%,621602
713,RSG,0.57,0.9,0.65%,2.03%,3.17%,-2.05%,12.82%,54.79,67.98,0.82%,0.25%,0.56%,965040
714,RSPP,1.61,1.67,-13.07%,-10.93%,6.40%,-20.23%,42.87%,30.42,41.09,-6.06%,-6.27%,0.23%,4873697
715,RXN,1.63,0.64,3.31%,1.84%,10.53%,-5.63%,31.75%,60.04,29.67,1.68%,0.92%,0.75%,806201
716,RY,1.14,1.04,-2.18%,-1.61%,-3.70%,-13.08%,10.43%,42.9,75.71,0.16%,-0.49%,0.65%,667295
717,RYAM,3.44,0.65,-5.57%,-11.76%,0.08%,-22.13%,41.01%,34.22,17.88,-0.17%,-0.56%,0.39%,725081
718,RYN,0.32,0.64,3.26%,6.24%,20.47%,0.18%,41.57%,71.51,39.23,0.93%,0.95%,-0.03%,707856
719,SABR,0.67,0.56,5.39%,13.46%,22.91%,-0.28%,44.10%,77.03,24.93,1.71%,0.93%,0.78%,2368266
720,SAIL,,1.39,8.30%,12.82%,35.20%,-3.96%,101.64%,65.47,25.85,-0.92%,-0.92%,0.00%,2500967
721,SAVE,0.52,1.18,1.11%,-0.20%,-3.81%,-34.89%,22.16%,51.32,37.04,0.95%,0.22%,0.74%,884626
722,SBGI,1.57,0.92,-5.03%,-6.21%,-14.55%,-31.01%,4.53%,39.66,27.7,1.09%,0.73%,0.36%,1771754
723,SBUX,0.61,0.88,-0.59%,-1.71%,0.07%,-12.27%,8.24%,44.91,56.91,0.42%,0.12%,0.30%,4961024
724,SC,1.07,0.63,-5.17%,3.74%,9.73%,-10.31%,64.43%,44.63,18.35,2.46%,-1.71%,4.24%,11736471
725,SCCO,0.5,1.22,-3.89%,-7.56%,4.19%,-15.20%,46.48%,36.29,49.26,0.76%,0.24%,0.51%,760668
726,SCG,0.25,1.05,0.02%,-2.66%,-19.19%,-50.41%,5.18%,46.24,35.35,-2.62%,-2.43%,-0.19%,1566562
727,SCHB,,0.66,1.25%,2.78%,4.37%,-3.71%,14.55%,60,66.51,1.02%,0.42%,0.59%,716565
728,SCHD,,0.53,1.40%,1.86%,1.12%,-8.75%,11.33%,56.81,49.82,0.95%,0.36%,0.59%,743506
729,SCHW,1.5,1.25,-2.00%,3.23%,14.10%,-5.80%,49.05%,50.04,56.73,2.00%,0.35%,1.64%,6485019
730,SCHX,,0.66,1.17%,2.59%,4.04%,-4.22%,14.32%,59.12,65.54,1.08%,0.44%,0.63%,1014959
731,SCI,0.94,0.55,-1.28%,-2.48%,-0.71%,-9.24%,15.99%,42.68,36.56,-0.35%,-0.79%,0.44%,918840
732,SCO,,0.69,13.38%,3.72%,-27.89%,-64.00%,22.50%,61.02,18.78,4.57%,2.18%,2.34%,2112932
733,SCZ,,0.55,-0.89%,-0.37%,2.10%,-5.42%,14.65%,47.35,65.44,0.71%,0.11%,0.60%,1071068
734,SDOW,,0.66,-0.70%,-4.36%,-15.28%,-45.30%,15.06%,47.06,18.03,-2.49%,-0.17%,-2.33%,2962248
735,SDS,,0.83,-2.18%,-4.96%,-10.06%,-26.37%,6.28%,41.55,37.9,-2.12%,-0.92%,-1.21%,3850442
736,SE,,0.74,32.07%,42.31%,31.71%,-4.00%,62.13%,80.08,16.31,10.28%,10.20%,0.07%,3678262
737,SEAS,0.87,0.56,6.35%,13.55%,28.86%,-2.49%,73.11%,69.61,18.04,1.63%,1.63%,0.00%,1763491
738,SEDG,,3.27,-10.88%,-4.21%,33.35%,-22.67%,203.05%,40.3,54.7,-2.06%,-2.67%,0.63%,1840039
739,SEE,1.12,0.8,-0.94%,0.41%,-2.18%,-11.97%,7.85%,47.81,43.96,0.92%,0.07%,0.85%,922392
740,SEIC,1.28,1.65,2.04%,-3.99%,-3.47%,-16.50%,30.74%,47.97,65.42,2.57%,1.33%,1.22%,789428
741,SEMG,1.89,0.86,2.94%,8.35%,0.54%,-19.12%,27.72%,59.02,25.8,1.98%,1.38%,0.59%,1095246
742,SEP,0.72,0.78,-5.43%,-9.32%,-24.54%,-35.36%,0.27%,32.95,30.04,-0.33%,-0.53%,0.20%,683778
743,SFIX,,1.04,-11.20%,-11.26%,-13.08%,-36.88%,31.08%,33.23,18.98,0.00%,0.48%,-0.47%,753976
744,SFM,0.84,0.63,-1.13%,-6.68%,-5.42%,-23.61%,23.13%,38.58,21.61,-0.41%,-0.78%,0.37%,1529575
745,SGEN,1.9,1.91,10.00%,15.98%,12.27%,-7.13%,36.00%,72.87,61.62,1.87%,1.50%,0.36%,1514116
746,SGH,,2.17,2.43%,2.70%,33.60%,-19.00%,251.07%,54.08,45.92,3.12%,2.59%,0.52%,638162
747,SGMO,2.87,0.9,5.55%,-5.33%,-2.11%,-39.64%,145.93%,52.23,16.6,0.91%,-0.60%,1.52%,1598110
748,SGMS,2.51,2.38,4.42%,18.25%,26.95%,-5.02%,157.11%,65.07,59.65,0.59%,-0.83%,1.43%,542463
749,SHAK,1.36,1.94,3.82%,22.51%,46.96%,-3.81%,99.73%,68.92,60.16,0.91%,0.27%,0.64%,999012
750,SHLX,1.24,0.53,-1.17%,3.58%,-12.21%,-27.28%,16.79%,51.84,22.68,1.30%,0.98%,0.31%,1619875
751,SIG,0.88,1.17,7.58%,9.39%,-19.83%,-45.33%,28.69%,72.18,42.61,-0.91%,-0.09%,-0.81%,1353594
752,SINA,1.11,2.71,0.32%,-4.05%,-13.55%,-25.97%,10.60%,48.85,92.24,1.56%,1.22%,0.34%,713760
753,SIX,1.11,1.37,4.49%,6.18%,5.72%,-5.98%,29.23%,65.96,66.23,2.65%,2.08%,0.56%,1222410
754,SJI,0.62,0.53,1.01%,6.77%,3.73%,-13.02%,25.81%,60.72,32.66,-1.39%,-1.30%,-0.09%,580316
755,SKT,0.52,0.54,3.90%,-0.18%,-8.39%,-22.49%,8.81%,55.1,21.61,0.56%,0.51%,0.05%,1595849
756,SKX,0.34,0.72,-0.50%,-13.43%,-12.85%,-31.59%,23.31%,38.66,29.47,1.41%,0.48%,0.93%,3309303
757,SLB,1.08,1.53,-2.98%,0.50%,2.25%,-14.18%,13.01%,45.71,68.96,0.42%,0.47%,-0.04%,6511900
758,SLCA,2.31,1.21,-5.86%,3.64%,-0.74%,-22.95%,27.20%,45.67,30.21,-2.33%,-2.58%,0.26%,2053039
759,SLG,1.09,1.59,0.59%,1.36%,-0.21%,-10.10%,9.53%,55.65,97.99,0.48%,-0.11%,0.59%,794584
760,SM,2.99,1.2,-8.47%,4.09%,14.01%,-17.77%,88.69%,44.49,23.19,-11.49%,-11.86%,0.42%,6327359
761,SMG,0.26,2.19,-1.83%,-1.75%,-12.45%,-25.08%,7.70%,43.46,82.5,-3.09%,0.16%,-3.24%,1575978
762,SMTC,1.22,1.32,13.20%,17.23%,30.10%,0.51%,57.67%,80.71,49.35,1.96%,0.61%,1.34%,519172
763,SNAP,,0.52,7.58%,-12.33%,-20.72%,-45.78%,10.76%,50.39,11.63,2.11%,-0.68%,2.81%,46749626
764,SNPS,1.09,1.47,0.50%,4.17%,4.40%,-5.63%,24.35%,58.85,89.46,1.58%,1.10%,0.48%,776637
765,SNV,1.07,0.99,1.40%,5.56%,12.63%,-1.26%,35.83%,59.09,54.7,1.09%,-0.44%,1.53%,854347
766,SNY,0.82,0.6,0.61%,-1.67%,-11.36%,-23.42%,3.63%,49.7,38.79,1.36%,-0.41%,1.78%,863550
767,SO,0.06,0.71,-0.45%,-1.14%,-6.58%,-17.40%,4.29%,47.06,44.2,-1.56%,-1.36%,-0.20%,4029590
768,SOI,,0.88,-11.88%,-13.56%,-13.32%,-37.57%,51.29%,33.64,14.97,-3.04%,-3.42%,0.39%,1958316
769,SONC,1.44,0.57,-1.44%,-4.30%,-3.56%,-18.74%,10.45%,40.73,24.42,0.58%,0.08%,0.49%,640401
770,SOXS,,0.62,-13.01%,-20.77%,-40.44%,-72.06%,0.64%,33.83,9.41,-6.74%,-4.95%,-1.88%,3496941
771,SPN,2.07,0.54,-9.29%,1.93%,7.27%,-18.11%,36.12%,42.6,10.42,-4.67%,-5.19%,0.55%,4125089
772,SPPI,2.02,0.99,8.66%,11.58%,14.48%,-16.09%,249.03%,60.66,19.72,2.23%,2.65%,-0.41%,1587658
773,SPR,1.48,1.97,1.63%,4.44%,3.24%,-17.76%,59.51%,57.37,86.52,2.14%,1.79%,0.34%,1238502
774,SPXL,,1.37,2.90%,6.56%,7.70%,-16.92%,40.63%,57.54,45.27,3.12%,1.23%,1.87%,4378142
775,SPXS,,0.87,-3.35%,-7.65%,-16.13%,-38.17%,7.68%,41.26,26.08,-3.16%,-1.40%,-1.78%,3451094
776,SPXU,,1.32,-3.34%,-7.62%,-16.22%,-38.21%,7.59%,41.14,39.55,-3.16%,-1.40%,-1.79%,3299745
777,SQ,,2.07,8.78%,15.94%,45.19%,0.87%,165.10%,71.61,59.41,1.99%,1.21%,0.77%,10464666
778,SQM,1.07,1.78,-4.80%,-2.26%,-4.87%,-19.30%,60.01%,43.63,51.45,-1.30%,-1.19%,-0.12%,1656458
779,SQQQ,,0.64,-7.92%,-15.77%,-31.60%,-57.40%,-1.45%,31.22,14.25,-4.68%,-3.26%,-1.47%,14085144
780,SRCL,0.41,1.1,0.86%,4.95%,-4.35%,-24.28%,13.10%,60.71,64.06,0.88%,0.49%,0.39%,554150
781,SRPT,1.32,3.64,5.68%,15.96%,54.74%,-1.94%,221.32%,66.94,95.85,2.13%,1.31%,0.81%,929315
782,SSNC,1.16,0.87,3.13%,1.82%,13.29%,-5.67%,42.06%,63.07,50.93,0.04%,-0.22%,0.26%,1009785
783,ST,1.51,1,0.90%,0.45%,3.35%,-9.09%,29.35%,53.08,52.18,2.13%,0.52%,1.61%,1145455
784,STI,1.31,1.41,0.27%,1.13%,6.72%,-6.64%,31.83%,51.42,68.5,1.47%,0.25%,1.21%,2639224
785,STL,1.12,0.57,1.18%,5.88%,3.05%,-6.42%,18.10%,57.93,24.8,1.02%,-0.60%,1.63%,1609001
786,STLD,1.35,1.35,2.42%,7.68%,19.35%,-4.08%,55.19%,59.91,49.97,1.09%,-0.32%,1.42%,2002556
787,STM,0.82,0.55,0.35%,4.24%,8.18%,-6.09%,68.87%,55.03,23.76,-0.46%,-0.04%,-0.42%,2375367
788,STT,1.28,2.1,-1.18%,-1.49%,-0.55%,-13.84%,20.83%,47.29,98.45,2.43%,0.75%,1.68%,1466323
789,STX,1.64,1.78,1.16%,-0.19%,25.74%,-7.66%,89.22%,51.2,57.9,2.75%,2.30%,0.44%,2873350
790,SU,0.84,0.86,1.38%,6.95%,14.83%,-3.19%,44.78%,60.07,40.48,1.76%,1.94%,-0.18%,6059224
791,SUM,,0.83,-4.86%,-5.28%,-8.81%,-18.97%,6.17%,35.65,27.6,-2.89%,-3.73%,0.88%,2179103
792,SUPN,1.1,2.06,7.85%,17.70%,33.74%,-2.29%,73.27%,65.99,57.7,2.40%,2.03%,0.35%,766358
793,SUPV,,1.17,-16.19%,-34.67%,-36.90%,-50.40%,2.88%,23.31,16.79,-2.21%,-2.21%,0.00%,533296
794,SYF,1.13,0.72,1.71%,2.72%,1.87%,-13.67%,30.55%,54.54,35.04,1.18%,-0.34%,1.53%,2906621
795,SYMC,0.86,0.89,-10.52%,-17.81%,-25.82%,-38.54%,11.51%,32.66,21.02,1.15%,1.11%,0.05%,5381101
796,SYNA,0.91,1.33,-1.40%,-4.22%,1.17%,-34.21%,25.88%,45.82,42.46,1.00%,0.50%,0.50%,779764
797,SYNH,0.83,1.38,6.41%,12.06%,-1.56%,-28.81%,39.87%,69.78,43.5,1.16%,0.35%,0.81%,578244
798,SYY,0.56,0.93,2.72%,5.45%,11.91%,-1.65%,33.90%,64.14,65.41,0.58%,0.21%,0.37%,1586024
799,T,0.39,0.52,0.87%,-3.91%,-9.93%,-18.42%,4.17%,45.01,32.47,0.46%,-0.03%,0.50%,23699782
